judul,waktu,isi
"Cegah Penyalahgunaan Narkoba, PJU dan Personil Polres Lamtim Jalani Tes Urine","Selasa 18-10-2022,12:23 WIB","
                                                                                        
                                         
                                             
                                                                              - Polres Lampung Timur kembali melakukan tes urine bagi para Pejabat Utama (PJU) dan anggota, Selasa 18 Oktober 2022.
 Waka Polres Kompol Sugandhi Satria Nugraha menjelaskan, kegiatan yang dibantu Dokkes Polda dan Propram Polda Lampung tersebut sebagai antispasi penyalahgunaan   di lingkungan personil Polri.
 ""Ini bentuk penegakan disiplin yang dilakukan polres untuk para anggota guna mengantisipasi segala bentuk pelanggaran,"" kata Kompol Sugandi mewakili Kapolres AKBP Zaky Alkazar Nasution.
 Dilanjutkan, selaian terhadap personil, tes urine juga dikukan terhadap para PJU.
 
 ""PJU harus memberi contoh yang baik bagi seluruh anggotanya,""lanjut Kompol Sugandi.
 Ditambahkan, dari tes urine terhadap ratusan personil hasilnya dinyatakan negativ.
 ""Tesa urine akan dilaksanakan secara rutin dengan jadwal tentatif,""imbuhnya.
 Diberitakan sebelulumnya, upaya Polres Lampung Timur mencegah penyalah gunaan narkoba di lingkungan internal berlanjut.
 
 Itu antara lain, melalui kegiatan tes urine mendadak terhadap sejumlah personil, Senin 19 September 2022 lalu.
 Personel yang menjalani tes urine merupakan perwakilan satuan fungsi yang dipilih secara acak.
 Tes urine itu dipimpin Waka Polres Lampung Timur Kompol Sugandhi Satria Nugraha didampingi pejabat utama.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Waka Polres Lampung Timur Kompol Sugandhi Satria Nugraha mengatakan, tes urine itu merupakan salah satu upaya penegakan ketertiban (Gaktip) disiplin personil.
 Cek Berita dan Artikel yang lain di  
                                "
"Cabuli Pacar di Kebun Jagung, Remaja Asal Lamtim Diamankan","Selasa 18-10-2022,19:55 WIB","
                                                                                        
                                         
                                             
                                                                             Polsek Batanghari Lampung Timur mengamankan tersangka kasus   terhadap anak di bawah umur.
 Tersangka adalah, MN (17) warga Kecamatan Batangharinuban Lamtim.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution, didampingi Kapolsek Batanghari Iptu Erson menjelaskan, tindak pencabulan itu dilakukan tersangka terhadap LY (14) warga Kecamatan Batanghari, Senin 17 Oktober 2022.
 Modusnya, tersangka menelpon korban dan berjanji akan mendatangi rumahnya. 
 
 Antara tersangka dan korban memang sudah saling mengenal dan menjalin hubungan sebagai pacar.
 Setelah bertemu, tersangka merayu korban yang untuk melakukan hubungan badan. Namun, korban menolak rayuan tersebut.
 Tersangka terus merayu sembari mengajak korban ke kebun jagung. Di kebun jagung yang ada di belakang rumah korban itu, tersangka terus melancarkan rayuannya.
 Suasana dinginnya malam dan gelapnya areal perkebunan jagung membuat korban goyah. Akibatnya, terjadilah perbuatan yang semestinya tidak boleh mereka lakukan.
 
 Perbuatan itu akhirnya terungkap ketika orang tua korban curiga tidak melihat putrinya dan tersangka di ruang tamu.
 Orang tua korban terus berusaha mencari sembari memanggil nama putrinya.
 Mengetahui ada yang mencari, korban bergegas kembali ke rumahnya. Sementara, tersangka bersembunyi di salah satu ruangan yang ada di rumah korban.
 Setelah didesak, korban menceritakan kejadian yang menimpanya kepada orang tua. Mendengar pengakuan itu, orang tua korban melaporkannya ke Polsek Batanghari.
 Cek Berita dan Artikel yang lain di  
                                "
"Wabup Lamtim Lantik Pejabat Eselon III dan IV, Ini Pesannya","Selasa 18-10-2022,21:54 WIB","
                                                                                        
                                         
                                             
                                                                             Kabupaten Lampung Timur membutuhkan aparatur pemerintah yang mampu bekerja keras dan bersinergi dengan masyarakat. Itu dalam rangka percepatan pelaksanaan program yang telah direncanakan.
 Demikian disampaikan Wakil Bupati Lampung Timur Azwar Hadi saat melantik 4 pejabat adminstrator (eselon III) dan pengawas (eselon IV), Selasa 18 Oktober 2022.
 Pejabat adminstrator yang dilantik adalah Indra Alfandi Ramli sebagai Sekretaris Dinas Pekerjaan Umum dan Penataan Ruang (PUPR).
 Kemudian, pejabat pejabat pengawas terdiri dari, Masngudi sebagai Kabid Bina Program dan Jasa Konstruksi  serta Suparlan sebagai Kasubag Umum dan Perlengkapan Dinas PUPR.
 
 Selanjutnya, Hendri Farani sebagai Kasubag Umum dan Kepegawaian Dinas Pariwisata Kepemudaan dan Olahraga.
 ""Alih tugas ataupun promosi jabatan merupakan bagian dari proses penyegaran dan penyesuaian kebutuhan personil dalam organisasi birokrasi,"" jelas Azwar dalam acara yang digelar di Aula Sekretariat Kabupaten Lamtim.
 Lebih lanjut Azwar berpesan kepada para pejabat yang baru dilantik agar segeralah beradaptasi terhadap tugas pokok dan fungsi jabatan masing-masing.
 Kemudian, membangun koordinasi, komunikasidan kerjasama efektif secara berjenjang. Baik dengan pimpinan ataupun dengan atasan.
 
 Menurutnya, tugas pelayanan bukanlah pekerjaan mudah. Apalagi kebutuhan dan kepentingan masyarakat semakin meningkat dan beragam.
 “Seegera pelajari dan pahami tupoksi serta lingkungan kerja masing-masing secara cepat dan akurat. Itu agar,  proses adaptasi pegawai berjalan secara cepat pula,”lanjut Azwar dalam acara yang dihadiri Sekretaris Kabupaten M.Jusuf dan jajaran.
 Kesempatan yang sama Azwar berpesan kepada para pejabat yang baru dilantik agar meningkatkan motivasi dan semangat kerja. Itu agar,  tugas-tugas yang telah dipercayakan dapat dilaksanakan dengan baik.
 Selain itu,  kepada pejabat yang baru dilantik untuk selalu mengayomi dan melindungi bawahannya, terutama memberikan arahan. Dengan begitu, bawahan dapat  melaksanakan tugasnya dengan baik.
 Cek Berita dan Artikel yang lain di  
                                "
"Curah Hujan Tinggi Berpotensi Bencana Alam, Polres Lampung Timur Siagakan Personil","Rabu 19-10-2022,19:01 WIB","
                                                                                        
                                         
                                             
                                                                             - Curah hujan yang cenderung semakin tinggi berpotensi menimbulkan bencana alam.
 Antara lain, bencana banjir, puting beliung, serta tanah longsor. 
 Karenanya,   telah mengambil beberapa langkah antisipasi penanganan hingga pencegahan bencana alam.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasi Humas Iptu Holili menjelaskan, guna mengantisipasi dampak dari bencana alam, Polres Lampung Timur telah menggelar apel kesiapan personil dan peralatan pada Senin 10 Oktober 2022 lalu.
 
 “Apel kesiapan personil dan peralatan itu dilaksanakan guna antisipasi sejak dini. Sehingga bila terjadi bencana seluruh personil benar-benar telah siap,” jelas kapolres, Rabu 19 Oktober 2022.
 Dalam penanganan pencegahan bencana, Polres Lampung Timur senantiasa menjalin koordinasi dengan Kodim 0429, Badan Penanggulangan Bencana Daerah, Dinas Sosial dan Satuan Polisi Pamong Praja.
 “Seluruh personil dari tingkat Polres hingga Polsek di Lampung Timur serta pihak terkait selalu siap siaga guna penanganan bencana alam,” lanjutnya.
 Kesiapan personil dan peralatan itu juga merupakan tindak lanjut dari Surat Telegram nomor STR/760/OPS.2/2022 tanggal 12 Oktober 2022 yang ditandatangani Asops Kapolri Irjen Agung Setya.
 
 “Dengan adanya persiapan sejak dini diharapkan dapat meminalisir dampak bencana alam,” imbuhnya.
 Diberitakan sebelumnya, bencana alam dapat terjadi kapan dan di mana saja.
 Terlebih pada musim penghujan, potensi terjadinya bencana alam cenderung meningkat. 
 Demikian disampaikan Wakil Bupati Lampung Timur Azwar Hadi saat memimpin apel  kesiapsiagaan penanggulangan bencana, Senin 10 Oktober 2022.
 Cek Berita dan Artikel yang lain di  
                                "
"Terlibat Kasus Sabu-Sabu, Warga Palembang Diamankan di Lampung Timur ","Rabu 19-10-2022,19:10 WIB","
                                                                                        
                                         
                                             
                                                                             - Polres Lampung Timur kembali mengungkap kasus penyalahgunaan narkoba jenis  .
 Dari pengungkapan kasus itu, Satnarkoba Polres Lampung Timur mengamankan SL (32), warga Palembang Sumatera Selatan.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasatnarkoba Iptu Suheri menjelaskan, pengungkapan kasus itu berawal dari informasi masyarakat tentang dugaan penyalahgunaan narkoba di wilayah Kecamatan Labuhan Maringgai.
 Berdasarkan informasi masyarakat dan hasil penyelidikan, personil Satnarkoba Polres Lampung Timur berhasil mengamankan tersangka di wilayah Desa Sukorahayu, Kecamatan Labuhan Maringgai, Rabu 19 Oktober 2022 pukul 03.30 WIB.
 
 Berikut tersangka, turut diamankan barang bukti berupa sebungkus plastik klip bening yang di dalamnya berisi kristal putih diduga keras narkotika golongan 1 jenis sabu-sabu.
 Atas perbuatannya, tersangka  dijerat undang-undang RI nomor 35 tahun 2009 tentang  .
 ""Tersangka dan barang bukti kami amankan di Polres Lampung Timur guna pengembangan penyidikan lebih lanjut,"" jelas kapolres. 
 Diberitakan sebelumnya, Satnarkoba Polres Lampung Timur  mengamankan AS (21), warga Kecamatan Sekampung Udik, Jumat 14 Oktober 2022.
 
 Iptu Suheri mengatakan, pengungkapan kasus itu berawal dari informasi masyarakat tentang peredaran narkoba di Kecamatan Mataram Baru.
 Dari informasi masyarakat dan hasil penyelidikan, personil Satnarkoba Polres Lampung Timur mengamankan tersangka di wilayah Desa Mataram Baru, Kecamatan Mataram Baru. 
 Berikut tersangka, turut diamankan barang bukti berupa 1 plastik klip bening yang berisi kristal putih diduga keras narkotika jenis sabu-sabu.  
 Sepekan sebelumnya,  Polres Lampung Timur mengungkap kasus penyalahgunaan narkoba di wilayah Kecamatan Way Bungur.
 Cek Berita dan Artikel yang lain di  
                                "
"Hadiri Pameran Lampung Craft, Ini Harapan Ketua Dekranasda Lampung Timur ","Rabu 19-10-2022,22:00 WIB","
                                                                                        
                                         
                                             
                                                                             Ketua   Lampung Timur Yus Bariyah menghadiri pembukaan Pameran Lampung Craft Tahun 2022 di Graha Wangsa, Bandar Lampung, Rabu 19 Oktober 2022. 
 Pameran Lampung Craft merupakan salah satu bentuk upaya meningkatkan daya saing para   di Provinsi Lampung.
 ""Pameran ini telah menjadi agenda tahunan, dan di tahun 2022 merupakan Lampung Craft ke-3. Di mana, Kabupaten Lampung Timur juga turut ambil bagian,"" kata Yus Bariyah. 
 Yus Bariyah yang hadir bersama Wakil Ketua Dekranasda Lampung Timur  Huzaimah berharap Pameran Lampung Craft tahun 2022 akan memberikan motivasi serta spirit bagi perajin Lampung Timur untuk mempromosikan hasil kerajinannya serta meningkatkan daya jual sehingga perekonomian meningkat. 
 ""Pameran Lampung craft bukan saja menjadi ajang promosi dan pemasaran produk perajin Lampung Timur. Namun juga menjadi wadah edukasi dan informasi bagi masyarakat Lampung dalam mempelajari keanekaragaman budaya, wastra dan kerajinan Lampung,"" tegas Yus Bariyah. 
 Sementara, kegiatan yang dilaksanakan mulai 19-23 Oktober 2022 tersebut dibuka Gubernur Lampung Arinal Djunaidi.
 Pembukaan dimeriahkan tarian Muli Besembah Agung oleh Sanggar Tari Radin Jambat Way Kanan, sebagai simbol penyambutan kepada para tamu kehormatan.  Cek Berita dan Artikel yang lain di  
                                "
Dawam Rahardjo: Teknologi Tepat Guna Faktor Penting Pengentasan Kemiskinan,"Rabu 19-10-2022,22:25 WIB","
                                                                                        
                                         
                                             
                                                                              -   (TTG) menjadi salah satu faktor penting guna meningkatkan   masyarakat.
 Di sisi lain, Pemerintah Kabupaten Lampung Timur menyadari, sebagian masyarakat memiliki tingkat kemampuan penguasaan teknologi yang terbatas. 
 Hal ini disampaikan Bupati Lampung Timur M. Dawam Rahardjo, usai menghadiri gelar TTG Nasional XXIII tahun 2022, di Ballroom Aston Hotel dan Convention Center Cirebon, Jawa Barat, Rabu 19 Oktober 2022. 
 
 Gelar TTG bertujuan memasyarakatkan   hasil teknologi tepat guna. Sekaligus ajang promosi dan pertukaran informasi terkait pengembangan serta pemanfaatan TTG untuk kemajuan ekonomi masyarakat, khususnya di desa.
 ‘’Teknologi tepat guna berarti teknologi yang sesuai dengan kondisi budaya dan kondisi ekonomi serta penggunaannya harus ramah lingkungan,"" kata Dawam Rahardjo. 
 ""Teknologi semacam ini tepat guna karena biayanya relatif murah. Teknologinya sederhana,"" imbuh Dawam. 
 
 Selain itu, terus Dawam, teknologi semacam ini mudah dimengerti pemakainya dan dalam skala yang tidak terlalu besar.
 Dengan begitu mudah dikembangkan dalam kondisi pembiayaan yang terbatas.  
 Untuk itu, pengembangan teknologi tepat guna bagi masyarakat pedesaan merupakan suatu jawaban yang tepat, sebagai salah satu hal penting bagi pengentasan kemiskinan.
 
 Sementara, gelar TTG Nasional XXIII tahun 2022 diikuti ribuan inovator perwakilan dari sejumlah provinsi di Indonesia. 
 Inovator dipertemukan dengan para investor atau pengusaha dalam pengembangan TTG di daerah.
 Cek Berita dan Artikel yang lain di  
                                "
Begini Pesan Ketua TP-PKK Lampung Timur kepada Peserta Pelatihan Public Speaking,"Kamis 20-10-2022,11:50 WIB","
                                                                                        
                                         
                                             
                                                                             Tidak semua orang memiliki kemampuan dan keberanian berbicara di hadapan umum.
 Demikian disampaikan Ketua Tim Penggerak (TP) PKK Kabupaten Lampung Timur Yus Bariah saat membuka pelatihan pemberdayaan kader TP-PKK desa di Kecamatan Mataram Baru, Kamis 20 Oktober 2022.
 Menurutnya, untuk dapat berbicara dengan lancar di hadapan umum diperlukan adanya pelatihan   dan arahan yang tepat.
 ""Itu agar informasi yang disampaikan dapat diterima dengan baik dan benar,"" jelas Yus Bariah.
 
 Karenanya, Yus Bariah berpesan agar kader TP-PKK tingkat desa mengikuti pembinaan tersebut dengan serius.
 Lebih lanjut Yus Bariah berharap para  Ketua TP-PKK Kecamatan dan Desa selaku motor penggerak di wilayah masing-masing segera melakukan pembenahan administrasi secara tertib dan rapi.
 Pasalnya, hingga saat ini administrasi PKK di tingkat kecamatan dan desa masih banyak yang perlu dibenahi.
 Salah satu contohnya, materi simulasi Kadarkum sudah diganti.
 
 Namun, masih banyak yang menggunakan materi lama.
 ""Materi unggulan saat ini sudah menggunakan pola asuh anak dan remaja di era digital. Ini yang perlu dibenahi,"" imbuh Yus Bariah 
   Cek Berita dan Artikel yang lain di  
                                "
Dekranasda Lampung Timur Dukung Peningkatan SDM Pariwisata dan Ekonomi Kreatif,"Kamis 20-10-2022,16:30 WIB","
                                                                                        
                                         
                                             
                                                                              - Meningkatkan perwujudan nilai tambah dari kekayaan intelektual, bersumber dari kreativitas manusia yang berbasis warisan budaya, ilmu pengetahuan dan teknologi. 
 Hal ini disampaikan Ketua   Lampung Timur Yusbariah saat menghadiri, sekaligus membuka pelatihan kerajinan batok kelapa di Satwa Elephant Eco Lodge, Kecamatan Labuhan Ratu, Kamis 20 Oktober 2022. 
 Pembekalan pelatihan dalam rangka peningkatan kompetensi SDM   dan   tingkat dasar batok kelapa tersebut diikuti 30 peserta. 
 Mereka berasal dari Kecamatan Bandar Sribhawono, Labuhan Ratu, Labuhan Maringgai dan Braja Selebah. 
 Yusbariah mengungkapkan, hasil kerajinan batok kelapa merupakan salah satu hasil produk yang sangat menarik dan memiliki ciri khas tersendiri dalam desainnya.
 Dengan modal tersebut, ke depan bakal berkembang seiring dengan pertumbuhan dunia pariwisata. Kemudian bisa menjadi salah satu ikon dan suvenir bagi wisatawan yang berkunjung ke Bumei Tuwah Bepadan.
 Melihat dari potensi tersebut, Pemkab dan Dekranasda Lampung Timur mendukung penuh dengan mengadakan pelatihan peningkatan kompetensi SDM pariwisata dan ekonomi kreatif batok kelapa.
 ”Diharapkan dari kegiatan pelatihan ini dapat melahirkan karya produk kriya batok kelapa dengan motif desain menarik, inovatif, dan memiliki kualitas produk bernilai jual dan laku di pangsa pasar global sebagaimana yang dibutuhkan oleh konsumen saat ini,” kaa Yusbariah. 
 Dengan banyaknya potensi wisata menarik di Lampung Timur, hal tersebut menjadi peluang dan wahana pelaku ekonomi kreatif untuk bisa berkarya sekaligus mempromosikan produk kerajinan.
 ”Diharapkan dapat memberikan nilai ekonomis untuk keluarga serta memberikan kenangan atau cinderamata khas Lampung Timur,” tegas istri  Bupati Lampung Timur M. Dawam Rahardjo. Ini. 
   Cek Berita dan Artikel yang lain di  
                                "
"Terlibat Kasus Sabu, Warga Banten dan Lampung Selatan Diamankan di Lampung Timur ","Kamis 20-10-2022,18:30 WIB","
                                                                                        
                                         
                                             
                                                                              - Polres Lampung Timur kembali mengungkap kasus penyalahgunaan narkoba jenis sabu-sabu.
 Dari pengungkapan kasus itu, Satnarkoba Polres Lampung Timur mengamankan 2 tersangka. 
 Masing-masing, RA (23), warga Pandeglang, Banten; dan RM (26), warga Kalianda, Lampung Selatan.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasatnarkoba Iptu Suheri mengatakan, terungkapnya kasus itu berawal dari informasi masyarakat tentang penyalahgunaan narkoba di wilayah Kecamatan Labuhan Maringgai.
 
 Dari informasi dan hasil penyelidikan, personil Satnarkoba Polres Lampung Timur mengamankan kedua tersangka di wilayah Desa Sukorahayu, Kecamatan Labuhan Maringgai, Kamis, 20 Oktober 2022 pukul 00.30 WIB.
 Berikut ke-2, tersangka turut diamankan barang bukti berupa 1 bungkus plastik klip bening yang di dalamnya berisi kristal putih diduga keras narkotika golongan 1 jenis sabu-sabu.
 Atas perbuatannya, kedua tersangka dijerat dengan Undang-Undang RI nomor 35 tahun 2009 tentang penyalahgunaan narkotika.
 ""Tersangka dan barang bukti kami amankan di Polres Lampung Timur guna pengembangan penyidikan lebih lanjut,"" jelas kapolres.
 
 Diketahui, sebelumnya Satnarkoba Polres Lampung Timur mengamankan FL (32), Rabu 19 Oktober 2022.
 Warga Palembang, Sumatera Selatan, itu disangka terlibat penyalahgunaan narkoba jenis sabu-sabu.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasatnarkoba Iptu Suheri menjelaskan, tersangka diamankan di wilayah Desa Sukorahayu, Kecamatan Labuhan Maringgai.
 Berikut tersangka, turut diamankan bukti berupa 1 bungkus plastik klip bening yang di dalamnya berisi kristal putih diduga keras narkotika golongan 1 jenis sabu-sabu.  Cek Berita dan Artikel yang lain di  
                                "
"Amankan Peringatan Hari Santri, Polres Lampung Timur Terjunkan 460 Personil ","Jumat 21-10-2022,13:13 WIB","
                                                                                        
                                         
                                             
                                                                             -Polres Lampung Timur menggelar apel kesiapan pengamanan peringatan   Nasional (HSN), Jumat 21 Oktober 2022.
 Kegiatan yang digelar di Lapangan Mapolres Lampung Timur itu dipimpin Wakapolres Kompol Sugandi. 
 ""Apel ini juga bertujuan untuk menyiap-siagakan personel polri dan instansi terkait dalam rangka mengamankan kegiatan peringatan  , yang akan dilaksanakan di masing-masing kecamatan di Kabupaten Lampung Timur,” ujar Kompol Sugandi mewakili Kapolres Lampung Timur AKBP Zaky Alkazar Nasution.
 Apel tersebut juga bertujuan mengetahui jumlah kekuatan personel polri dan instansi terkait.
 
 Kemudian, kelengkapan perlengkapan serta sarana prasarana dalam rangka pengamanan.
  Nasional tahun 2022 tersebut, Polres Lampung Timur menerjunkan 460 personil.
 Selain itu akan dibantu prajurit dari Kodim 0429, Sat Pol PP, dan Banser. 
 Melalui sinergisitas antara Polri, TNI dan pihak terkait tersebut diharapkan pelaksanaan peringatan Hari Santri Nasional di Lampung Timur pada Sabtu 22 Oktober 2022 berjalan lancar dan kondusif. Cek Berita dan Artikel yang lain di  
                                "
"Modus Pencuri, Masuk Rumah Korban dengan Congkel Jendela Lalu Melenggang Bawa Ponsel dan Sepeda Motor","Jumat 21-10-2022,16:28 WIB","
                                                                                        
                                         
                                             
                                                                             -Jajaran Polres Lampung Timur mengungkap kasus pencurian dengan pemberatan (curat). 
 Dari pengungkapan kasus itu, berhasil diamankan 3 tersangka. 
 Masing-masing, YM (20) dan JM (35), warga Kecamatan Batanghari Nuban, Lampung Timur.
 Kemudian, DI (20), warga Lampung Selatan.
 
 Kapolres menjelaskan, dari 3 tersangka tersebut, 2 diantaranya diamankan Polsek Raman Utara.
 Yaitu, YM dan JM.
 Sedangkan DI berhasil diamankan Polsek Matarambaru.
 YM dan JM diduga terlibat dalam aksi curat di rumah Sutris, warga Kecamatan Raman Utara pada Sabtu 9 Oktober 2022 lalu.
 
 Modusnya, mencongkel jendela kemudian masuk ke rumah korban dan membawa kabur 2 unit telepon seluler (ponsel) dan 1 unit sepeda motor Honda Vario.
 Berdasarkan laporan korban dan hasil penyelidikan, personil Polsek Raman Utara dibantu Polres Lampung Timur berhasil mengamankan kedua tersangka di wilayah Kecamatan Batanghari Nuban, Rabu 19 Oktober 2022. 
 Berikut para tersangka turut diamankan barang bukti berupa 2 unit ponsel.
 “Tersangka dan barang bukti kami amankan di Polsek Raman Utara guna pengembangan penyidikan lebih lanjut,” jelas kapolres diampingi Kapolsek Raman Utara Iptu Sunaryo. 
 Cek Berita dan Artikel yang lain di  
                                "
"Perburuan Sampai Banten dan Jawa Tengah, Polres Lampung Timur Bekuk Kawanan Perampokan Bersenjata Api","Senin 26-09-2022,09:19 WIB","
                                                                                        
                                         
                                             
                                                                              - Upaya   memburu para pelaku perampokan hingga ke wilayah Banten dan Jawa Tengah, membuahkan hasil.
 Itu setelah Tim Tekab 308 Polres Lampung Timur mengamankan 4 tersangka kasus pencurian dengan kekerasan (curas) .
 Masing-masing, AY (33) warga Kecamatan Sacang Kabupaten Magelang Jawa Tengah; RD (38) dan PM (27), warga Kecamatan Candipuro Lampung Selatan.
 Kemudian, ES (27) warga Kecamatan Way Panji, Lampung Selatan.  
 
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasatreskrim Iptu Johanes menjelaskan, ke-4 tersangka diduga sebagai pelaku perampokan di rumah Sulimin (52), warga Desa Purworejo, Kecamatan Pasir Sakti. 
 Aksi perampokan itu dilakukan para tersangka pada Jumat 16 September 2022, pukul 01.00 WIB. 
 Modusnya, para tersangka mengetuk pintu rumah korban.
 Saat itu, korban sedang tidur bersama istrinya. Di dalam rumah tersebut juga ada adik korban. 
 
 Mendengar ada yang mengetuk pintu, korban bangun kemudian membukakan pintu.
 Ketika pintu terbuka, korban langsung ditodong oleh 3 orang tak dikenal bersenjata api dan pedang yang mengenakan cadar (penutup wajah).
 Adik korban yang ikut terbangun juga langsung ditodong para tersangka.
 Selanjutnya, para tersangka mengikat kedua tangan korban dan adiknya menggunakan lakban.  
 Cek Berita dan Artikel yang lain di  
                                "
"Berani Melawan Polisi di Cilacap, Kawanan Rampok Sarang Burung Walet di Lampung Timur Didor  ","Senin 26-09-2022,16:51 WIB","
                                                                                        
                                         
                                             
                                                                             - Jajaran Polres Lampung Timur berhasil mengungkap kasus perampokan   yang terjadi di Kecamatan Pasir Sakti.
 Dari pengungkapan kasus itu, Polres Lampung Timur mengamankan 3 tersangka. Masing-masing RD (38) dan PM (27), warga Kecamatan Candipuro, Lampung Selatan. Dan, ES (27) warga Kecamatan Way Panji, Lampung Selatan. 
 Petugas terpaksa mengambil tindakan tegas dan terukur dengan menembak kaki 3 tersangka dengan menembak kaki kanan masing-masing.
 Sebab, mereka mencoba kabur dan melakukan perlawanan saat akan diamankan di wilayah Cilacap, Jawa Tengah. 
 
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution menjelaskan, tindak perampokan itu dilakukan 3 tersangka pada 15 Agustus 2022 pukul 01.00 WIB.
 Modusnya, para tersangka mendatangi gedung walet yang berada di Desa Labuhanratu, Kecamatan Labuhan Ratu, Lampung Timur. Mereka kemudian mendobrak pintu belakang rumah penjaga gedung walet. 
 Setelah berhasil masuk, para tersangka langsung menodong M. Ristiadi (53), warga Sumatera Selatan, dengan senjata api. Korban bertugas sebagai penjaga gedung walet.
 Selanjutnya, para tersangka mengikat korban dan dimasukkan ke dalam kamar dengan dijaga 1 tersangka bersenjata api.
 
 Sementara, tersangka lainnya merusak pintu gedung walet. Setelah berhasil mengambil beberapa kilogram sarang burung walet, para tersangka langsung kabur. 
 Kejadian itu kemudian dilaporkan ke Polsek Pasir Sakti Lampung Timur.
 Kasus perampokan tersebut akhirnya terungkap. Menyusul tertangkapnya 3 tersangka di wilayah Cilacap, Jawa Tengah, Sabtu 24 September 2022.   
 Ke-3 tersangka diamankan personil gabungan Polres Lampung Timur dan Polres Cilacap atas kasus perampokan di rumah Sulimin (52), warga Des Purworejo, Kecamatan Pasir Sakti.
 Cek Berita dan Artikel yang lain di  
                                "
"Nekat Congkel Jendela, Warga Jabung Curi Sepeda Motor di Rumah Mustofa","Senin 26-09-2022,17:40 WIB","
                                                                                        
                                         
                                             
                                                                             - Polsek Melinting, Lampung Timur, mengungkap kasus pencurian sepeda motor ( ) yang terjadi pada awal September 2022 lalu.
 Tersangka yang terlibat kasus curanmor tersebut adalah GW (23), warga Kecamatan  , Lampung Timur.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution melalui Kapolsek Melinting Iptu Saipullah menjelaskan,  GW diduga terlibat dalam aksi curanmor  Honda Kharisma milik Ahmad Mustofa (24), warga Desa Wana, Kecamatan Melinting.
 Aksi pencurian itu dilakukan tersangka pada Kamis 1 September 2022  pukul 01.30 WIB.  Modusnya,  tersangka bersama rekannya mencongkel jendela rumah rumah korban.  Kemudian, membawa kabur sepeda motor korban.
 
 Kejadian itu baru diketahui korban ketika ada tetangga yang membangunkannya karena melihat pintu depan rumahnya terbuka lebar.
 Saat terbangun, korban tidak melihat sepeda motor yang sebelumnya berada di ruang tengah.   
 Berdasarkan laporan korban dan hasil penyelidikan, petugas Polsek Melinting berhasil mengidentifikasi tersangka yang telah diamankan Polsek Mataram Baru, Rabu 21 September 2022 lalu.
 Benar saja. Saat diperiksa  petugas Polsek Melinting pada Senin 26 September 2022,  tersangka mengaku sebagai pelaku curanmor di rumah Mustofa.   
 
 “Kini tersangka masih diamankan Polsek Mataram Baru guna pengembangan penyidikan atas kasus di wilayah setempat,” jelas Iptu Saipullah.
 Diberitakan sebelumnya,  Polsek Mataram Baru, Lampung Timur, mengamankan tersangka kasus curanmor. Tersangka adalah GW (23), warga Kecamatan Jabung, Lampung Timur.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kapolsek Mataram Baru Iptu  Rudi menjelaskan, tersangka diduga sebagai pelaku sejumlah aksi curanmor. 
 Antara lain, aksi curanmor Honda Supra Fit milik Suparni (38), warga Desa Mataram Baru, Kecamatan Mataram Baru. Aksi pencurian itu dilakukan tersangka bersama rekannya pada 1 September 2022 lalu.
 Cek Berita dan Artikel yang lain di  
                                "
